Experiment,Feature Selection,Feature Selection,Feature Selection,Feature Selection,Feature Selection,Feature Selection
Dataset Name,AFE dataset,AFE dataset,AFE dataset,EMBER dataset,EMBER dataset,EMBER dataset
GBDT,catbooster,lightgbm,xgboost,catbooster,lightgbm,xgboost
peak memory usage in MB,18725.29296875,62692.453125,49896.5390625,17756.41015625,14369.25,30104.68359375
final_metric.accuracy_score,0.900072,0.909404,0.9227399999999999,0.9056919999999999,0.907925,0.9230180000000001
final_metric.detection_rate_0.1000,100.0,11.991600000000002,10.304400000000001,100.0,11.360600000000002,10.067
final_metric.detection_rate_1.0000,100.0,11.991600000000002,10.304400000000001,100.0,11.360600000000002,10.067
final_metric.f1_score,0.8998342691524144,0.9091214814400168,0.9225896594194568,0.9054635502365607,0.9077438665872177,0.9228256676707263
final_metric.fit_time,149.0,114.8,1428.6,19.0,29.4,23.2
final_metric.fit_time_raw,953.0,702.8,10176.8,,,
final_metric.fnr_0.1000,100.0,11.991600000000002,10.304400000000001,100.0,11.360600000000002,10.067
final_metric.fnr_1.0000,100.0,11.991600000000002,10.304400000000001,100.0,11.360600000000002,10.067
final_metric.fpr_0.1000,0.0,0.0,0.0,0.0,0.0,0.0
final_metric.fpr_1.0000,0.0,0.0,0.0,0.0,0.0,0.0
final_metric.log_loss,0.2387338136304331,0.23241173641698118,0.21202914787923594,0.24942473015938016,0.24426300295278597,0.21154738298159473
final_metric.precision_score,0.9031933674935895,0.912886823176662,0.9249383815250974,0.9083290136948747,0.9101196319620314,0.9253759876826402
final_metric.recall_score,0.900072,0.909404,0.9227399999999999,0.9056919999999999,0.907925,0.9230180000000001
final_metric.roc_auc_score,0.7048525656873389,0.7101899734783972,0.7150040831506159,0.7047723920574942,0.7059140424447417,0.7147713301831244
final_metric.roc_auc_score_0.1000,0.5029955629309025,0.5034187984081663,0.5041631579431687,0.503035763469719,0.5029386453123268,0.504013932998671
final_metric.roc_auc_score_1.0000,0.5300911070295177,0.5343426031051475,0.5418198629567549,0.5304949305325042,0.5295193566801066,0.5403208646449421
final_metric.score,0.8344960813610587,0.8446534358986305,0.8546991459286026,0.8379311807610097,0.8382378310625711,0.8504555302860869
final_metric.threshold_0.1000,0.001,0.001,0.001,0.001,0.001,0.001
final_metric.threshold_1.0000,0.01,0.01,0.01,0.01,0.01,0.01
fit time in seconds,149.0,114.8,1428.6,19.0,29.4,23.2
